assay	trim	split_seed	model	pearson	spearman	ceiling	pearson_over_ceiling
pGL4	171	split_seed2	cnn_mean_ens	0.6718457069782038	0.4841062141425791	0.9938114885299644	0.6760293221926735
pGL4	171	split_seed2	kmer_elasticnet_mean_ens	0.5682147421719728	0.30513884293643073	0.9938114885299644	0.5717530424330978
pGL4	171	split_seed2	kmer_mean_ens	0.5948322379147162	0.31898323461574285	0.9938114885299644	0.5985362865895079
pGL4	171	split_seed2	onehot_ridge_mean_ens	0.2755548019695077	0.20862521562408223	0.9938114885299644	0.2772706948448599
pGL4	171	split_seed3	cnn_mean_ens	0.7540016322738623	0.5919805184993159	0.9938114885299644	0.7586968363478809
pGL4	171	split_seed3	kmer_elasticnet_mean_ens	0.6486433955438041	0.4330862089087032	0.9938114885299644	0.6526825288599457
pGL4	171	split_seed3	kmer_mean_ens	0.6531921979930665	0.4172320864790863	0.9938114885299644	0.6572596569186996
pGL4	171	split_seed3	onehot_ridge_mean_ens	0.22434982351694197	0.1326313681571887	0.9938114885299644	0.2257468605527975
pGL4	171	split_seed4	cnn_mean_ens	0.7342280694743635	0.5542173520422268	0.9938114885299644	0.7388001426310999
pGL4	171	split_seed4	kmer_elasticnet_mean_ens	0.6288240968590127	0.3988968852759576	0.9938114885299644	0.6327398144583364
pGL4	171	split_seed4	kmer_mean_ens	0.6359398916456159	0.394335148573048	0.9938114885299644	0.6398999196379704
pGL4	171	split_seed4	onehot_ridge_mean_ens	0.23189357305499197	0.1423973101206714	0.9938114885299644	0.23333758537849722
pGL4	185	split_seed0	cnn_mean_ens	0.697860228318995	0.4991124186461475	0.9938114885299644	0.7022058371968134
pGL4	185	split_seed0	kmer_elasticnet_mean_ens	0.6419274183814825	0.4278074390881468	0.9938114885299644	0.6459247309879813
pGL4	185	split_seed0	kmer_mean_ens	0.6458124205467946	0.4280563767635519	0.9938114885299644	0.6498339252468026
pGL4	185	split_seed0	onehot_ridge_mean_ens	0.19242122920567364	0.09934433711255856	0.9938114885299644	0.1936194453641315
pGL4	185	split_seed1	cnn_mean_ens	0.6887931004134301	0.49841312916815683	0.9938114885299644	0.6930822478539523
pGL4	185	split_seed1	kmer_elasticnet_mean_ens	0.6117513498923525	0.36757952929238297	0.9938114885299644	0.6155607546832134
pGL4	185	split_seed1	kmer_mean_ens	0.6273278325902724	0.37129369398529755	0.9938114885299644	0.6312342328807339
pGL4	185	split_seed1	onehot_ridge_mean_ens	0.23775963707660877	0.1819369159309811	0.9938114885299644	0.239240177660152
pGL4	185	split_seed2	cnn_mean_ens	0.6786994441285363	0.5099254267340757	0.9938114885299644	0.6829257378906552
pGL4	185	split_seed2	kmer_elasticnet_mean_ens	0.5636865641369908	0.3052679686347944	0.9938114885299644	0.5671966672178343
pGL4	185	split_seed2	kmer_mean_ens	0.5912849105509622	0.3171250946481424	0.9938114885299644	0.5949668698493159
pGL4	185	split_seed2	onehot_ridge_mean_ens	0.275554781852178	0.20862521562408223	0.9938114885299644	0.2772706746022586
pGL4	185	split_seed3	cnn_mean_ens	0.7571421635765934	0.5927616244564469	0.9938114885299644	0.761856923888604
pGL4	185	split_seed3	kmer_elasticnet_mean_ens	0.6520713029052417	0.44867784586763115	0.9938114885299644	0.6561317819637795
pGL4	185	split_seed3	kmer_mean_ens	0.6571160476801577	0.4345527406352625	0.9938114885299644	0.6612079406046684
pGL4	185	split_seed3	onehot_ridge_mean_ens	0.22434984221885396	0.1326313681571887	0.9938114885299644	0.22574687937116716
pGL4	185	split_seed4	cnn_mean_ens	0.7347258506252712	0.5643797583361146	0.9938114885299644	0.7393010234889416
pGL4	185	split_seed4	kmer_elasticnet_mean_ens	0.6294499142822662	0.399829130679188	0.9938114885299644	0.6333695288764893
pGL4	185	split_seed4	kmer_mean_ens	0.6395510886734503	0.40459154146072207	0.9938114885299644	0.6435336037616829
pGL4	185	split_seed4	onehot_ridge_mean_ens	0.23189356019460788	0.1423973101206714	0.9938114885299644	0.2333375724380309
