assay	trim	split_seed	model	scope	pearson	spearman	n
HSS	185	split_seed4	kmer_elasticnet_mean_ens	overall	0.5738432495471727	0.45496654098672634	243.0
HSS	185	split_seed4	kmer_elasticnet_mean_ens	overall_non_excluded	0.5738432495471727	0.45496654098672634	243.0
HSS	185	split_seed4	kmer_elasticnet_mean_ens	by_prefix			
HSS	185	split_seed4	kmer_mean_ens	overall	0.5749229028506168	0.4441567043740036	243.0
HSS	185	split_seed4	kmer_mean_ens	overall_non_excluded	0.5749229028506168	0.4441567043740036	243.0
HSS	185	split_seed4	kmer_mean_ens	by_prefix			
HSS	185	split_seed4	onehot_ridge_mean_ens	overall	0.09912174545174449	0.09018943871824203	243.0
HSS	185	split_seed4	onehot_ridge_mean_ens	overall_non_excluded	0.09912174545174449	0.09018943871824203	243.0
HSS	185	split_seed4	onehot_ridge_mean_ens	by_prefix			
ORI	171	split_seed0	cnn_mean_ens	overall	0.7054008691540748	0.5152537062923055	242.0
ORI	171	split_seed0	cnn_mean_ens	overall_non_excluded	0.7054008691540748	0.5152537062923055	242.0
ORI	171	split_seed0	cnn_mean_ens	by_prefix			
ORI	171	split_seed0	kmer_elasticnet_mean_ens	overall	0.6133399002021341	0.403356008016896	242.0
ORI	171	split_seed0	kmer_elasticnet_mean_ens	overall_non_excluded	0.6133399002021341	0.403356008016896	242.0
ORI	171	split_seed0	kmer_elasticnet_mean_ens	by_prefix			
ORI	171	split_seed0	kmer_mean_ens	overall	0.6177493778814983	0.3973446597394731	242.0
ORI	171	split_seed0	kmer_mean_ens	overall_non_excluded	0.6177493778814983	0.3973446597394731	242.0
ORI	171	split_seed0	kmer_mean_ens	by_prefix			
ORI	171	split_seed0	onehot_ridge_mean_ens	overall	0.16127291608271757	0.07013493675513467	242.0
ORI	171	split_seed0	onehot_ridge_mean_ens	overall_non_excluded	0.16127291608271757	0.07013493675513467	242.0
ORI	171	split_seed0	onehot_ridge_mean_ens	by_prefix			
ORI	171	split_seed1	cnn_mean_ens	overall	0.7205652722693303	0.48649947344242483	242.0
ORI	171	split_seed1	cnn_mean_ens	overall_non_excluded	0.7205652722693303	0.48649947344242483	242.0
ORI	171	split_seed1	cnn_mean_ens	by_prefix			
ORI	171	split_seed1	kmer_elasticnet_mean_ens	overall	0.6384051197751879	0.37493223541157683	242.0
ORI	171	split_seed1	kmer_elasticnet_mean_ens	overall_non_excluded	0.6384051197751879	0.37493223541157683	242.0
ORI	171	split_seed1	kmer_elasticnet_mean_ens	by_prefix			
ORI	171	split_seed1	kmer_mean_ens	overall	0.6562320103841275	0.38663526722204994	242.0
ORI	171	split_seed1	kmer_mean_ens	overall_non_excluded	0.6562320103841275	0.38663526722204994	242.0
ORI	171	split_seed1	kmer_mean_ens	by_prefix			
ORI	171	split_seed1	onehot_ridge_mean_ens	overall	0.2425460009194465	0.1536152580136422	242.0
ORI	171	split_seed1	onehot_ridge_mean_ens	overall_non_excluded	0.2425460009194465	0.1536152580136422	242.0
ORI	171	split_seed1	onehot_ridge_mean_ens	by_prefix			
ORI	171	split_seed2	cnn_mean_ens	overall	0.7003965541798672	0.47528889284181736	242.0
ORI	171	split_seed2	cnn_mean_ens	overall_non_excluded	0.7003965541798672	0.47528889284181736	242.0
ORI	171	split_seed2	cnn_mean_ens	by_prefix			
ORI	171	split_seed2	kmer_elasticnet_mean_ens	overall	0.6167762692165896	0.3739296835156336	242.0
ORI	171	split_seed2	kmer_elasticnet_mean_ens	overall_non_excluded	0.6167762692165896	0.3739296835156336	242.0
ORI	171	split_seed2	kmer_elasticnet_mean_ens	by_prefix			
ORI	171	split_seed2	kmer_mean_ens	overall	0.6239469704241472	0.3737831996574346	242.0
ORI	171	split_seed2	kmer_mean_ens	overall_non_excluded	0.6239469704241472	0.3737831996574346	242.0
ORI	171	split_seed2	kmer_mean_ens	by_prefix			
ORI	171	split_seed2	onehot_ridge_mean_ens	overall	0.26677580317295435	0.17623108887097058	242.0
ORI	171	split_seed2	onehot_ridge_mean_ens	overall_non_excluded	0.26677580317295435	0.17623108887097058	242.0
ORI	171	split_seed2	onehot_ridge_mean_ens	by_prefix			
ORI	171	split_seed3	cnn_mean_ens	overall	0.8024495778953435	0.6455237576727996	242.0
ORI	171	split_seed3	cnn_mean_ens	overall_non_excluded	0.8024495778953435	0.6455237576727996	242.0
ORI	171	split_seed3	cnn_mean_ens	by_prefix			
ORI	171	split_seed3	kmer_elasticnet_mean_ens	overall	0.6692754761970521	0.47016071297849793	242.0
ORI	171	split_seed3	kmer_elasticnet_mean_ens	overall_non_excluded	0.6692754761970521	0.47016071297849793	242.0
ORI	171	split_seed3	kmer_elasticnet_mean_ens	by_prefix			
ORI	171	split_seed3	kmer_mean_ens	overall	0.6644149175009961	0.47330122263182295	242.0
ORI	171	split_seed3	kmer_mean_ens	overall_non_excluded	0.6644149175009961	0.47330122263182295	242.0
ORI	171	split_seed3	kmer_mean_ens	by_prefix			
ORI	171	split_seed3	onehot_ridge_mean_ens	overall	0.22418275734748563	0.11509133853550549	242.0
ORI	171	split_seed3	onehot_ridge_mean_ens	overall_non_excluded	0.22418275734748563	0.11509133853550549	242.0
ORI	171	split_seed3	onehot_ridge_mean_ens	by_prefix			
ORI	171	split_seed4	cnn_mean_ens	overall	0.7210537340847053	0.5969505108961337	242.0
ORI	171	split_seed4	cnn_mean_ens	overall_non_excluded	0.7210537340847053	0.5969505108961337	242.0
